DATE,IPG2211A2N,IPG2211A2N_diff
1985-02-01,70.672,-1.833200000000005
1985-03-01,62.4502,-8.221799999999995
1985-04-01,57.4714,-4.9788
1985-05-01,55.3151,-2.1563000000000017
1985-06-01,58.0904,2.7753000000000014
1985-07-01,62.6202,4.5297999999999945
1985-08-01,63.2485,0.628300000000003
1985-09-01,60.5846,-2.663899999999998
1985-10-01,56.3154,-4.269200000000005
1985-11-01,58.0005,1.6851000000000056
1985-12-01,68.7145,10.713999999999999
1986-01-01,73.3057,4.591200000000001
1986-02-01,67.9869,-5.318799999999996
1986-03-01,62.2221,-5.764800000000008
1986-04-01,57.0329,-5.1892
1986-05-01,55.8137,-1.2192000000000007
1986-06-01,59.9005,4.086800000000004
1986-07-01,65.7655,5.865000000000002
1986-08-01,64.4816,-1.2839000000000027
1986-09-01,61.0005,-3.481099999999998
1986-10-01,57.5322,-3.4682999999999993
1986-11-01,59.3417,1.8094999999999999
1986-12-01,68.1354,8.793700000000001
1987-01-01,73.8152,5.6798
1987-02-01,70.062,-3.7532000000000068
1987-03-01,65.61,-4.451999999999998
1987-04-01,60.1586,-5.4514
1987-05-01,58.8734,-1.2852000000000032
1987-06-01,63.8918,5.018400000000007
1987-07-01,68.8694,4.977599999999995
1987-08-01,70.0669,1.1975000000000051
1987-09-01,64.1151,-5.951800000000006
1987-10-01,60.3789,-3.7361999999999966
1987-11-01,62.4643,2.0854
1987-12-01,70.5777,8.113399999999992
1988-01-01,79.8703,9.292600000000007
1988-02-01,76.1622,-3.7081000000000017
1988-03-01,70.2928,-5.869399999999999
1988-04-01,63.2384,-7.054400000000001
1988-05-01,61.4065,-1.8318999999999974
1988-06-01,67.1097,5.7032000000000025
1988-07-01,72.9816,5.871899999999997
1988-08-01,75.7655,2.7839000000000027
1988-09-01,67.5152,-8.25030000000001
1988-10-01,63.2832,-4.231999999999992
1988-11-01,65.1078,1.8245999999999967
1988-12-01,73.8631,8.755300000000005
1989-01-01,77.9188,4.055700000000002
1989-02-01,76.6822,-1.23660000000001
1989-03-01,73.3523,-3.329899999999995
1989-04-01,65.1081,-8.244200000000006
1989-05-01,63.6892,-1.4188999999999936
1989-06-01,68.4722,4.783000000000001
1989-07-01,74.0301,5.557900000000004
1989-08-01,75.0448,1.0146999999999906
1989-09-01,69.3053,-5.7394999999999925
1989-10-01,65.8735,-3.4317999999999955
1989-11-01,69.0706,3.197099999999992
1989-12-01,84.1949,15.124300000000005
1990-01-01,84.3598,0.16490000000000293
1990-02-01,77.1726,-7.187200000000004
1990-03-01,73.1964,-3.9762000000000057
1990-04-01,67.2781,-5.918300000000002
1990-05-01,65.8218,-1.4562999999999988
1990-06-01,71.4654,5.643600000000006
1990-07-01,76.614,5.148600000000002
1990-08-01,77.1052,0.4911999999999921
1990-09-01,73.061,-4.044199999999989
1990-10-01,67.4365,-5.624500000000012
1990-11-01,68.5665,1.1300000000000097
1990-12-01,77.6839,9.11739999999999
1991-01-01,86.0214,8.337500000000006
1991-02-01,77.5573,-8.464100000000002
1991-03-01,73.365,-4.192300000000003
1991-04-01,67.15,-6.214999999999989
1991-05-01,68.8162,1.6661999999999892
1991-06-01,74.8448,6.0286000000000115
1991-07-01,80.0928,5.2479999999999905
1991-08-01,79.1606,-0.9321999999999946
1991-09-01,73.5743,-5.5863000000000085
1991-10-01,68.7538,-4.820499999999996
1991-11-01,72.5166,3.7627999999999986
1991-12-01,79.4894,6.9728000000000065
1992-01-01,85.2855,5.796099999999996
1992-02-01,80.1643,-5.121200000000002
1992-03-01,74.5275,-5.636799999999994
1992-04-01,69.6441,-4.883400000000009
1992-05-01,67.1784,-2.4656999999999982
1992-06-01,71.2078,4.02940000000001
1992-07-01,77.5081,6.300299999999993
1992-08-01,76.5374,-0.9706999999999937
1992-09-01,72.3541,-4.183300000000003
1992-10-01,69.0286,-3.3255000000000052
1992-11-01,73.4992,4.470600000000005
1992-12-01,84.5159,11.0167
1993-01-01,87.9464,3.430499999999995
1993-02-01,84.5561,-3.3902999999999963
1993-03-01,79.4747,-5.081400000000002
1993-04-01,71.0578,-8.416899999999998
1993-05-01,67.6762,-3.381600000000006
1993-06-01,74.3297,6.653500000000008
1993-07-01,82.1048,7.775099999999995
1993-08-01,82.0605,-0.04429999999999268
1993-09-01,74.6031,-7.457400000000007
1993-10-01,69.681,-4.9221
1993-11-01,74.4292,4.748199999999997
1993-12-01,84.2284,9.799199999999999
1994-01-01,94.1386,9.910200000000003
1994-02-01,87.1607,-6.977899999999991
1994-03-01,79.2456,-7.91510000000001
1994-04-01,70.9749,-8.27069999999999
1994-05-01,69.3844,-1.5905000000000058
1994-06-01,77.9831,8.598699999999994
1994-07-01,83.277,5.293900000000008
1994-08-01,81.8872,-1.389799999999994
1994-09-01,75.6826,-6.204600000000013
1994-10-01,71.2661,-4.416499999999999
1994-11-01,75.2458,3.9797000000000082
1994-12-01,84.8147,9.5689
1995-01-01,92.4532,7.638499999999993
1995-02-01,87.4033,-5.049899999999994
1995-03-01,81.2661,-6.137200000000007
1995-04-01,73.8167,-7.449399999999997
1995-05-01,73.2682,-0.5485000000000042
1995-06-01,78.3026,5.034400000000005
1995-07-01,85.9841,7.6815
1995-08-01,89.5467,3.5626000000000033
1995-09-01,78.5035,-11.043199999999999
1995-10-01,73.7066,-4.796900000000008
1995-11-01,79.6543,5.947700000000012
1995-12-01,90.8251,11.1708
1996-01-01,98.9732,8.1481
1996-02-01,92.8883,-6.084900000000005
1996-03-01,86.9356,-5.952700000000007
1996-04-01,77.2214,-9.714199999999991
1996-05-01,76.6826,-0.538800000000009
1996-06-01,81.9306,5.248000000000005
1996-07-01,85.9606,4.030000000000001
1996-08-01,86.5562,0.5956000000000046
1996-09-01,79.1919,-7.3643
1996-10-01,74.6891,-4.502800000000008
1996-11-01,81.074,6.384900000000002
1996-12-01,90.4855,9.411500000000004
1997-01-01,98.4613,7.9757999999999925
1997-02-01,89.7795,-8.681799999999996
1997-03-01,83.0125,-6.766999999999996
1997-04-01,76.1476,-6.864900000000006
1997-05-01,73.8471,-2.3004999999999995
1997-06-01,79.7645,5.917400000000001
1997-07-01,88.4519,8.687399999999997
1997-08-01,87.7828,-0.6691000000000003
1997-09-01,81.9386,-5.844200000000001
1997-10-01,77.5027,-4.4358999999999895
1997-11-01,82.0448,4.542099999999991
1997-12-01,92.101,10.056200000000004
1998-01-01,94.792,2.6910000000000025
1998-02-01,87.82,-6.972000000000008
1998-03-01,86.5549,-1.2650999999999897
1998-04-01,76.7521,-9.802800000000005
1998-05-01,78.0303,1.2781999999999982
1998-06-01,86.4579,8.427599999999998
1998-07-01,93.8379,7.38000000000001
1998-08-01,93.531,-0.30689999999999884
1998-09-01,87.5414,-5.98960000000001
1998-10-01,80.0924,-7.448999999999998
1998-11-01,81.4349,1.3425000000000011
1998-12-01,91.6841,10.249200000000002
1999-01-01,102.1348,10.450699999999998
1999-02-01,91.1829,-10.951899999999995
1999-03-01,90.7381,-0.44480000000000075
1999-04-01,80.5176,-10.220500000000001
1999-05-01,79.3887,-1.1289000000000016
1999-06-01,87.8431,8.454400000000007
1999-07-01,97.4903,9.647199999999998
1999-08-01,96.4157,-1.0746000000000038
1999-09-01,87.2248,-9.1909
1999-10-01,80.6409,-6.5839
1999-11-01,82.2025,1.5615999999999985
1999-12-01,94.5113,12.308800000000005
2000-01-01,102.2301,7.7187999999999874
2000-02-01,94.2989,-7.93119999999999
2000-03-01,88.0927,-6.20620000000001
2000-04-01,81.4425,-6.650199999999998
2000-05-01,84.4552,3.0127000000000095
2000-06-01,91.0406,6.585399999999993
2000-07-01,95.9957,4.955100000000002
2000-08-01,99.3704,3.3747000000000043
2000-09-01,90.9178,-8.452600000000004
2000-10-01,83.1408,-7.777000000000001
2000-11-01,88.041,4.900199999999998
2000-12-01,102.4558,14.4148
2001-01-01,109.1081,6.652299999999997
2001-02-01,97.1717,-11.936399999999992
2001-03-01,92.8283,-4.343400000000003
2001-04-01,82.915,-9.913299999999992
2001-05-01,82.5465,-0.3685000000000116
2001-06-01,90.3955,7.849000000000004
2001-07-01,96.074,5.6785
2001-08-01,99.5534,3.4793999999999983
2001-09-01,88.281,-11.27239999999999
2001-10-01,82.686,-5.594999999999999
2001-11-01,82.9319,0.2458999999999918
2001-12-01,93.0381,10.106200000000001
2002-01-01,102.9955,9.957400000000007
2002-02-01,95.2075,-7.788000000000011
2002-03-01,93.2556,-1.9518999999999949
2002-04-01,85.795,-7.4605999999999995
2002-05-01,85.2351,-0.559899999999999
2002-06-01,93.1896,7.954499999999996
2002-07-01,102.393,9.203400000000002
2002-08-01,101.6293,-0.7637
2002-09-01,93.3089,-8.320400000000006
2002-10-01,86.9002,-6.408699999999996
2002-11-01,88.5749,1.6747000000000014
2002-12-01,100.8003,12.225399999999993
2003-01-01,110.1807,9.380400000000009
2003-02-01,103.8413,-6.339399999999998
2003-03-01,94.5532,-9.2881
2003-04-01,85.062,-9.491200000000006
2003-05-01,85.4653,0.40330000000000155
2003-06-01,91.0761,5.610799999999998
2003-07-01,102.22,11.143900000000002
2003-08-01,104.4682,2.248199999999997
2003-09-01,92.9135,-11.554699999999997
2003-10-01,86.5047,-6.408799999999999
2003-11-01,88.5735,2.068799999999996
2003-12-01,103.5428,14.969300000000004
2004-01-01,113.7226,10.1798
2004-02-01,106.159,-7.563599999999994
2004-03-01,95.4029,-10.756100000000004
2004-04-01,86.7233,-8.679600000000008
2004-05-01,89.0302,2.306899999999999
2004-06-01,95.5045,6.4742999999999995
2004-07-01,101.7948,6.290300000000002
2004-08-01,100.2025,-1.5922999999999945
2004-09-01,94.024,-6.1785
2004-10-01,87.5262,-6.497799999999998
2004-11-01,89.6144,2.0882000000000005
2004-12-01,105.7263,16.11189999999999
2005-01-01,111.1614,5.435100000000006
2005-02-01,101.7795,-9.381900000000002
2005-03-01,98.9565,-2.8229999999999933
2005-04-01,86.4776,-12.47890000000001
2005-05-01,87.2234,0.7458000000000027
2005-06-01,99.5076,12.284199999999998
2005-07-01,108.3501,8.842500000000001
2005-08-01,109.4862,1.136099999999999
2005-09-01,99.1155,-10.3707
2005-10-01,89.7567,-9.358800000000002
2005-11-01,90.4587,0.7019999999999982
2005-12-01,108.2257,17.76700000000001
2006-01-01,104.4724,-3.75330000000001
2006-02-01,101.5196,-2.9527999999999963
2006-03-01,98.4017,-3.1178999999999917
2006-04-01,87.5093,-10.89240000000001
2006-05-01,90.0222,2.512900000000002
2006-06-01,100.5244,10.502200000000002
2006-07-01,110.9503,10.425899999999999
2006-08-01,111.5192,0.5688999999999993
2006-09-01,95.7632,-15.756
2006-10-01,90.3738,-5.389399999999995
2006-11-01,92.3566,1.9827999999999975
2006-12-01,103.066,10.709400000000002
2007-01-01,112.0576,8.991599999999991
2007-02-01,111.8399,-0.21769999999999357
2007-03-01,99.1925,-12.647400000000005
2007-04-01,90.8177,-8.374799999999993
2007-05-01,92.0587,1.2409999999999997
2007-06-01,100.9676,8.908900000000003
2007-07-01,107.5686,6.600999999999999
2007-08-01,114.1036,6.534999999999997
2007-09-01,101.5316,-12.572000000000003
2007-10-01,93.0068,-8.524799999999999
2007-11-01,93.9126,0.9057999999999993
2007-12-01,106.7528,12.840199999999996
2008-01-01,114.8331,8.080300000000008
2008-02-01,108.2353,-6.5978000000000065
2008-03-01,100.4386,-7.796700000000001
2008-04-01,90.9944,-9.444199999999995
2008-05-01,91.2348,0.24040000000000816
2008-06-01,103.9581,12.723299999999995
2008-07-01,110.7631,6.804999999999993
2008-08-01,107.5665,-3.1965999999999894
2008-09-01,97.7183,-9.848200000000006
2008-10-01,90.9979,-6.720399999999998
2008-11-01,93.8057,2.8078000000000003
2008-12-01,109.4221,15.616399999999999
2009-01-01,116.8316,7.409499999999994
2009-02-01,104.4202,-12.4114
2009-03-01,97.8529,-6.567299999999989
2009-04-01,88.1973,-9.655600000000007
2009-05-01,87.5366,-0.6606999999999914
2009-06-01,97.2387,9.702099999999987
2009-07-01,103.9086,6.669900000000013
2009-08-01,105.7486,1.8399999999999892
2009-09-01,94.8823,-10.866299999999995
2009-10-01,89.2977,-5.584599999999995
2009-11-01,89.3585,0.06080000000000041
2009-12-01,110.6844,21.32589999999999
2010-01-01,119.0166,8.3322
2010-02-01,110.533,-8.483599999999996
2010-03-01,98.2672,-12.265799999999999
2010-04-01,86.3,-11.967200000000005
2010-05-01,90.8364,4.5364
2010-06-01,104.3538,13.51740000000001
2010-07-01,112.8066,8.452799999999996
2010-08-01,112.9014,0.09479999999999222
2010-09-01,100.1209,-12.78049999999999
2010-10-01,88.9251,-11.195800000000006
2010-11-01,92.775,3.849900000000005
2010-12-01,114.3266,21.551599999999993
2011-01-01,119.488,5.1614
2011-02-01,107.3753,-12.112700000000004
2011-03-01,99.1028,-8.272499999999994
2011-04-01,89.3583,-9.744500000000002
2011-05-01,90.0698,0.7115000000000009
2011-06-01,102.8204,12.750600000000006
2011-07-01,114.7068,11.886399999999995
2011-08-01,113.5958,-1.1110000000000042
2011-09-01,99.4712,-14.124600000000001
2011-10-01,90.3566,-9.114599999999996
2011-11-01,93.8095,3.4528999999999996
2011-12-01,107.3312,13.521699999999996
2012-01-01,111.9646,4.633400000000009
2012-02-01,103.3679,-8.596699999999998
2012-03-01,93.5772,-9.790700000000001
2012-04-01,87.5566,-6.020600000000002
2012-05-01,92.7603,5.203699999999998
2012-06-01,101.14,8.3797
2012-07-01,113.0357,11.895700000000005
2012-08-01,109.8601,-3.175600000000003
2012-09-01,96.7431,-13.117000000000004
2012-10-01,90.3805,-6.3626000000000005
2012-11-01,94.3417,3.961200000000005
2012-12-01,105.2722,10.930499999999995
2013-01-01,115.501,10.228800000000007
2013-02-01,106.734,-8.76700000000001
2013-03-01,102.9948,-3.7391999999999967
2013-04-01,91.0092,-11.985599999999991
2013-05-01,90.9634,-0.04580000000001405
2013-06-01,100.6957,9.73230000000001
2013-07-01,110.148,9.452299999999994
2013-08-01,108.1756,-1.9723999999999933
2013-09-01,99.2809,-8.8947
2013-10-01,91.7871,-7.493800000000007
2013-11-01,97.2853,5.498200000000011
2013-12-01,113.4732,16.1879
2014-01-01,124.2549,10.7817
2014-02-01,112.8811,-11.373800000000003
2014-03-01,104.7631,-8.11800000000001
2014-04-01,90.2867,-14.476399999999998
2014-05-01,92.134,1.8473000000000042
2014-06-01,101.878,9.744
2014-07-01,108.5497,6.671700000000001
2014-08-01,108.194,-0.3556999999999988
2014-09-01,100.4172,-7.776800000000009
2014-10-01,92.3837,-8.03349999999999
2014-11-01,99.7033,7.319599999999994
2014-12-01,109.3477,9.644400000000005
2015-01-01,120.2696,10.921899999999994
2015-02-01,116.3788,-3.8907999999999987
2015-03-01,104.4706,-11.908199999999994
2015-04-01,89.7461,-14.724500000000006
2015-05-01,91.093,1.346900000000005
2015-06-01,102.6495,11.5565
2015-07-01,111.6354,8.9859
2015-08-01,110.5925,-1.042900000000003
2015-09-01,101.9204,-8.6721
2015-10-01,91.5959,-10.3245
2015-11-01,93.0628,1.4668999999999954
2015-12-01,103.2203,10.157499999999999
2016-01-01,117.0837,13.863399999999999
2016-02-01,106.6688,-10.414899999999989
2016-03-01,95.3548,-11.314000000000007
2016-04-01,89.3254,-6.029399999999995
2016-05-01,90.7369,1.4115000000000038
2016-06-01,104.0375,13.300599999999989
2016-07-01,114.5397,10.502200000000002
2016-08-01,115.5159,0.9762000000000057
2016-09-01,102.7637,-12.752200000000002
2016-10-01,91.4867,-11.277000000000001
2016-11-01,92.89,1.4033000000000015
2016-12-01,112.7694,19.879400000000004
2017-01-01,114.8505,2.081099999999992
2017-02-01,99.4901,-15.360399999999998
2017-03-01,101.0396,1.5494999999999948
2017-04-01,88.353,-12.686599999999999
2017-05-01,92.0805,3.7275000000000063
2017-06-01,102.1532,10.072699999999998
2017-07-01,112.1538,10.000600000000006
2017-08-01,108.9312,-3.2226
2017-09-01,98.6154,-10.31580000000001
2017-10-01,93.6137,-5.0017
2017-11-01,97.3359,3.722200000000001
2017-12-01,114.7212,17.3853
2018-01-01,129.4048,14.683599999999998
